text,label
코미디 영화인줄 ㅎㅎ,1
별이 아까울 정도의 영화.... 이건뭥미? 욕도 안나옴...어이상실.....,1
70년대로 돌아간 느낌이다.,1
진짜 비추영화다..심각함..,1
이런걸 영화로 왜 만들었는지 이해불가능 재미도없고 감동도없고,1
인터넷에서 게임하다보면 밑도 끝도없이 음란멘트를 날리는 애들이있는데 그런애들을 위한 영화....5분만에 씌여졌을것 같은 각본과 연기 연출...그냥 예전에 비디오가게에 꽂혀있던 성인 에로물을 벗어나지못한....,1
도데체 이런 영화는 왜 만드는거냐? 돈이 남아돌아 주체를 못하겠음 불우이웃 돕기로 성금이라도 내던가.,1
"무슨 이런영화가 8점이냐?  평점이 높아 난 뭐 에로티즘에 대한 독특한 해석이나 시각. 엥글, 소재가 있나 했는데 완전 낚였다. 그저 그런 평범한 애로영화다.",1
어이 없어서 10점 준다.,1
멋찌다 고려 이전 전통인 근친상간을 계승하고~~~ ㅋㅋ,1
얼굴 반반한 연치고 갈BO 아닌 연없다.,1
재밌게 잘 보있습니다.,1
아니 포스터를 보는데 왜 성인인증??? 괜히 로그인햇네,1
-_- 도대체가 이게 뭐여,1
그렇군요.... 음... 그래요..,1
시간이 아까운 영화라는 표현조차 아깝군,1
별론데...그렇개 색다르지도 않고...,1
이제 에로는 이런식으로 만들어지는구나... 연기력이 그리 나쁘진 않다,1
이런 영화는 왜 만드는거지... 돈 아깝게... 그냥 야동 만들던가... 작품성 제로~,1
에잇  이게뭐냐고요~~~~ㅋ,1
이은미 '그녀이름은 DHR'에서 인상적으로 봐서 조금은 기대하고 봤는데.... 완전 개족보...,1
흥행부진이면 가차없죠,1
허술한 스토리 일거라고 짐작은 했지만 액션도 시원찮고해서 시간이 아깝군,1
중국영화도 아니고 그렇다고 유럽영화도 아니여...,1
"킬링타임용으로도 배포 불가능한 영화.. 초반부터 감독이 연출 포기함.. 발연기, 발시나리오 등을 총망라하여 모든 질적 저하 요소를 장착함. 단언컨대 근래에 찾아 보기힘든 최악의 영화임.",1
1점도주기싫다 욕이절로 나옴 킬러는무슨ㅋㅋ 격투신  한두장면잇는데 진짜 어설프고 내용도 조잡함 뭔영화인지 모르겟네 대사랑 배드신뿐이네 노랑여배우 가슴은 이쁨 10점,1
ㅋㅋ정말 오랜만에 본 최악의영화내용..감동..볼거리 아무것도 없음....,1
왠지그냥.. 다들해서,1
왠지 1.4 만들고 싶다...ㅋㅋ,1
행복한 콩 ㅋㅌㅊ1ㅋㅌㅊ,1
그닥 마음에 들지않고 재미도 없고..,1
"1083년도 아니고, 2차 빈 포위전이 '종교전쟁' 이라는 건 웬 X소리람. 물론 종교가 아주 개재되지 않은 건 아니지만, 이건 마치 축구로 비유하면 살짝 부딪혀 놓고서는 땅바닥에 쓰러진 다음 아이고 나 죽네 하며 데굴데굴 구르는 꼴.",1
아래 잘못된 것만 이야기 할께. 가톨릭에서 쓰는 용어는 하나님이야. 하느님은 애국가에도 나오듯 하늘의 님을 부르는 말이야. 그리고 알라신이든 알라든 그 종교에서 부르는게 맞는 답이지. 다른 종교라고 해서 배척하지 말자구.,1
빨리감기로 15분만에 다 봤다. 허접한 CG와 연출에 당황했다. 혹시 종교단체에서 만든 선교용 동영상이 아닌가 의심스러울 정도였다.,1
케이블에서 하길래 보는데 60~70년대 영화인줄 알았음. 2013년 개봉작이라길래 소오름,1
중후반 갑자기 허접스런 cg에 영화는 추락....싱거운 마무리까지...,1
각자의 입장이 있는거..CG가 너무 티남...피가 완전 초장임,1
야훼교 찬양도 역겨운데 영화까지 이 꼬라지라니,1
"기독교에서 말하는 하나님은 하나의신 유일신을 나타내는거고 하느님, 하늘님은 하늘에 계신 신을 포괄적으로 나타내는말입니다.예를들어 애국가에 ""하느님이 보우하사""란 우리나라는 종교적 편견이 없다는걸 나타내는 겁니다.",1
허접!!! 편집만 잘했었도 멋진 영화가 됐을것 같은데,1
7광구에 못지 않은 화려한  그래픽 스케일. 300의 filmography를 전수 하고자 하는 충성무비이지 않을까 합니다.,1
전화려한 액션과연출을 기대햇는대 정말 쓰래깁니다  액션신도 한 10분이면 만은거구요 너무 허접하게만든영화입니다 그냥 전쟁준비과정이대부분이고 전쟁씬도 그냥 허접그자채,1
"오역 투성임.알라신이 아니라 알라 임.영화내용 상 가톨릭,동방교회,개신교를 포괄하는 기독교가 아닌 가톨릭이 정확. 한글 맞춤법 및 가톨릭과 개신교 공동번역성서 합의 상, 하나님이 아니라 하느님이 표준어.더더욱 가톨릭 영화므로 하느님으로 해야함.",1
"영상으로는 뭔가를 표현 하려고 한것 같은데, 내용없이  심오하기만하고 전달도 잘 되지 않은것 같고..저질 같은 기분이 들었어요..애써 이해 해보려 노력했지만..그냥 인상 찡그려 지는듯한..그리고 무엇보다도 딱히 내용이 없다는점이..참 안타깝네요..",1
돈주고 보기 아까워 정말 너무 하네,1
아마랄랄다닻팜ㄴㅇㅎㄹ,1
노출 기대하고 보실분들 하나도안나옴,1
0점은 줄수가 없네요. ㅎ 스릴러여 에로여 뭐여? 이 영화 정체가 뭔가요?,1
왜 이런 영화 만들었는지 모르겠다..,1
이딴 영화는 왜 자꾸 제작해주고 왜 만드는 건지 전혀 이해를 할 수가 없음.,1
0점제도는 반드시 있어야 한다! 쓰레기 영화,1
한마디로  최악 별점하나도 아깝다,1
tv 전기세가 아깝다 캬악 퉷!,1
푸하하하 야~ 이건 완전~,1
ㅋ.배우분이 무슨 잘못...?? 이건 정말..뭐냐?,1
혹시나 했는데 역시나 OOO...,1
감독 생긴것부터 약장수 3류 막장 사기꾼 포스 ㄷㄷㄷ,1
어어조러바터바타자트,1
"너무 충격적입니다. 어떻게 이런걸 영화라고 내놓나요? 보는내내 물음표만 가득했습니다. 남자가 여자 못들때 ""???"" 엄마가 시도때도없이 자기야할때 ""???"" 남자 풀어줄때""???"" 신고하러가서 그냥올때 ""????""",1
개봉 했었나요? 내가 봐야됬는데,1
아니 진짜 개사이코패스영화.영화보고 기분 더러워본적첨이네토나온다 진심..,1
진짜 영화보면서 울화가 치밀긴 처음이다.. 진짜 내가 마지막 장면처럼 칼로 이 영화 찌르고 싶은 기분,1
별 1개도 아깝다.  오인혜 나온 1편이 훨씬 낫다.,1
1점도 아깝다....여기 글 쓰려고 로그인 했다는 사람들 이해가 안됬는데 영화 중반부 넘어가니 나도 울화가 치밀어 글을 써야겠다는 생각이 든다이런 영화 왜 만드는걸까? 현실성도 없고 에로도 없고 스릴도 없고 상식도 없는 영화,1
마이너스는 왜 없는지. 감독 참 너도. .제목빨로 어찌해볼려고?이런 쓰레기를 투자를 하는곳이 있네,1
무슨 영화가 이따위냐ㅡㅡ 제일 이해 안되던게 칼로 찔러서 반죽여놓구선 여주가 그위에서 하는건 뭐냐?남주 죽었는데 어떻게 한다는거지?했는데 남자 안주금ㅋㅋㅋㅋ그렇게 찔려놓고도 안죽는게 어이없었지만 더 대박인건 하려고 안죽고 있다가 다하고 죽음.,1
"괜찮은 여자 주인공 노출은 하나도 없고, 아지매 노출만 나와서 눈제대로 버렸네. 게다가 영화는 왜이렇게 쓰잘떼기 없이 잔인해...",1
요즘 관객들을 호구로 아나 확실하게 벗거나 극적인 스토리던가 이도 저도 아닌 영화는 철저한 외면을 당할텐데 제작사에서 그런걸 모르나?,1
주인공년 완벽한 파트너에서도 관객들 간보더니 역시나 이 영화에서도 간보네. 이런 영화는 딱 나중에 케이블에서나 간간히 나올법한 영화라 돈주고 보는 사람들이 호구임. 이건 토렌트로 다운받아 볼 가치도 없음. 주인공년아 니 몸에 꿀 발라놨냐?,1
0.00점! 평가불가! 총 출연자 4명도 아까움.,1
장난하나 ㅡㅡ; 오인혜정도는 나와줬어야지,1
상업적으로도 예술적으로도 이렇게 비참할 수가,1
1점대  영화 첨 보내ㅋㅋㅋ영화 돈내고 보면서 아까운적이 다세포소녀 M 다음이 이거네ㅋ,1
"진짜아무것도 안나오나요??? 그럼1점이지,,,",1
.?? 1은 그래도 어느정도 이슈라도 됐지.... 2는.... 이해하기도 어려운 영화....,1
원래 평점 이렇게 짜게 안주는데 너무 했다. 이것도 아니고 저것도 아니고.,1
"쓰레기 연출에 민망한 대사에 연기, 중간에 시를 읊더니 마지막 명언엔딩까지 영화가 보여줄 수 있는 갖은 진상을 다 모아놓음. 감독의 학위까지 의심될 지경.",1
헤헤헤헤 남주 못생겼다 헤헤헤헤,1
2개줄라다가 엄마때문에1개,1
이건무ㅗ야 ㅅㅇㄴ휴 ㅡㅡ,1
쓰레기 중에 쓰레기.. 감독님 다른 직업을 알아보시는 게...,1
이영화는 충격이었다 ..,1
내용이 단순하면 볼꺼리라도 있어야지 이것참..근데..할머니 노출은 왜 심의에 안걸리는것임? 아오..내눈..ㅋ,1
유두안나와요ㅋㅋㅋ..릌ㅋ큼,1
"졸딱 말어먹고 그저 노출로만 이슈가 된 영화의 속편을 만들거라면, '작품'을 만들던지 아니면 '야한 영화'를 만들던지 해야하는데 이도저도 아닌 갈피조차도 못잡는 영화가 되버림..",1
알지? 10자제한이라 길게적는거다.,1
이게 왜 제한상영가였지?,1
이건 모 답이 없네요 ㅡㅡ,1
볼게 아무것도 없네요 장난허나 ㅡㅡ,1
영화보고서 느낀건 이도저도 아닌게 예술영화 감독으로도 상업영화 감독으로도 재능이 영 없으신듯 하단 생각뿐이 안드네요. 극장서 상영관 못받았으면 iptv라도 노려봐야지 이런 수준으로는 다운시장에서도 망할겁니다. 관객들 우습게 보지 마세요.,1
니들이 알고 싶은거 말해준다 안나옴ㅋㅋ,1
이건뭐 스토리도 엉성하고 노출도 없고 무료라고 보지마셈,1
보낸 내내 그냥 짜증나는 영화!,1
"노출수위가 다는 아닐지라도 보신분들 의견들을 보니 표현수위가 생각보다 많이 낮은가보군요. 1차심의때 제한상영가 판정까지 받았던데..파격,제한상영가..등은 홍보를 위한 문구? 아니면 2차심의때 청불판정이라도 받으려고 필름을 왕창 들어낸 걸까요?",1
아..내돈8천원ㅠ88분동안 잡고 흔들어야하는데..잡고만있었슴ㅠ 당햇다,1
주인공 가슴도 안나옴 ㅋ,1
노출없는 영화!!   끝!,1
와 진짜 속은 느낌 노출은 진짜 예고편에 있는거 이상으로 나오는거 아무것도 없음..다운로드서비스 시작했길래 큰맘먹고 질렀는데..솔직히 1편에 오인혜가 나와서 2편도 당연히 그정도급의 노출 기대했는데..노출만 보려는 건아니지만 노출이 ps파트너 김아중급,1
평점낯추기성공함ㅅㄳㄱ,1
별로,1
너무 당연한 이야기스토리 개인적으로 피뽑는데서 돈 흘릴때 짜증;;,1
어떻게 이 영화가 평점이 이렇게 높은지 모르겠다 내생에 최악의 영화,1
감동도없고 재미는 더없고 시간도아까운 1점도아까운영화엿습니다. 역시평점은믿으면안되!! 내평정도믿지마,1
연기도 별로 내용도 별로,1
감독새ㄲ ㅣ 낮짝한번 보고싶은데 지만 사진 쏙 뺘놨네.. 여자여 남자여 요즘은 영화찍기만하고 극장개봉하면 무조건 돈버냐?,1
1점도 아까웠다는..,1
이건 시간을 죽이는 영화가 아니야. 시간을 능욕하는 영화야,1
저예산일수록 필름을 더 소중히 다뤄야지. 이건 너무 막 찍었다.,1
하.. 죽은 병사들 탄흔 확인 할꺼 뻔하고 K1으로 사살된거 확인되는거 시간문제인데ㅋㅋㅋ 그리고 마지막에 북한군 뭐하러 출현시킴?? 유용원 밀리터리 전문가가 시나리오 써도 이거보단 잘 쓸듯,1
무슨 민통선 지뢰구역 있는곳을 개개인별로 다니면서 저렇게 자기행동하는게 말이나되는지...  시트콤이라면 별 만점감이다 에라이 지뢰기같은영화,1
다 OO들만 캐스팅했냐? ㅉㅉㅉ이걸 군대영화라고? 쥐피506이 100배 낫겠다...수색을 개 호구로 보고 영화 발로 쳐만들었네 아..짱나 이딴 영화,1
"내용은 그래영화야 ..허구야...하고 넘길지언정  진짜 웃음이나오는 고양이위장, 총셋팅,복장 등등...군생활을 해봤다면 절대 이렇게는 못만들꺼에요...저예산이어서 위장크림아끼고, 복장 이 어설픈건 아닌거 같음  ㅠㅠ",1
닌 감독안해야 될것같다,1
이런 영화 만든 감독은 수색대에서 잡아가야 하는 거 아녀?,1
여자 권소위는 보고 안하고 처뭐하는짓이냐? 권소위 보고안하는바람에 이런일 일어났네 보는내내 너무 답답하고 작가가 군필인지 의심스럽다 진짜,1
너무없이없는 설정..그리멍청한 학생들과 말도안되는 군인들.. 아무리 군대개판이래도 이건너무심했다.감독이 군필인지가 의심스럽다.,1
평점0점이없는게 아쉽다 이건심하잖아 아니 군대를 안갔다왔으면 군대영화를 만들지를마 괜히 군대에 같지도않은 인식을 심어주고있어 대한민국 남자라면 군대를 일반적으로 갔다오는데 지금 우리들데리고 장난치는것도아니고,1
젠장 무슨 내용인지 전개가 흐를수록 이해가 안가더라...무슨 영화가 이런가 싶더라..특히 엔딩 너무허무하더라..그래도 박그리나는 예뻤다.,1
"킬링타임용으로 본 저예산 영화라고 하려고 했는데, 이건 당최 뭘 말하려는지 모르겠네;",1
영화만들려면 똑바로 만들어라..대한민국수색대를 물로보냐??,1
무슨 생각으로 만들었는지... 보는내내 속터졌음,1
ㅋㅋ발로만든영화 중위 진급1순위 ㅋㅋㅋ 그냥 소위달고 징계안받으면 개나소나 다는건데 ㅋㅋ 난 또 중령이라곸ㅋㅋㅋ,1
별반개도.아깝다.0개.항목만들어라,1
정말 ㅈ같이 만들었네. 우리나라 군인들을 아주 ㅈ같이 표현해놨어. 총질하는데 서가지고 무슨일이냐고 묻는 엘리트 소대장이나 군인 치자마자 무릎꿇고 빌면서 살려달라는 민간인이나 뭐 하나 말이되는게 있어야지 OOin 같아서 댓글 안달래야 안달 수가 없네.,1
그냥 감독이 공익출신 밀리터리 매니아구만 소대장이란 년은 책임얘기만 계속 해쌌고 정작 이상한거 발견했다고 같이 있던 소대원들은 내팽개치고 총맞아 죽을라고 혼자 달려가서 또 뿔뿔이 흩어지고... 그뒤에 너희 여기서 둘이서 뭐하고 있었냐고 묻고앉앗,1
대학 동아리에서 만들어도 이것보단 사실적으로 만들겠다.,1
이거 시나리오나 영화작업 할때 옆에 군필자 아무도 없었냐..,1
80년대 우뢰매 생각도 나고 진심 다시 이런영화만들면 둑는다...,1
70년대 전쟁영화만도 못한 쓰레기....어휴...,1
이걸 영화라고 만들어서 상영한 거야? 군대는 갔다오시고 저런 스토리가 나오셨나? 상상해도 쫌 지대로 상상하며 만들던가..아 시간 아까워..,1
감독세끼 면상 보고싶네 ㅋ,1
내가 수색대 출신인데 어디서 뻥을 치고 난리야,1
찐짜 할 말 없다.... 제작 목적이 먼지제작자로서 군대에 대한 기본지식 정도는 알고 만들어야 하는 것 아닐까요?한마디로 헛점 투성이..,1
ㅋㅋㅋ 완전 할말없다 진짜 ㅋㅋ,1
내 이런 말도 안되는건 처음보네...자문좀 구하지...1점도 아깝다.,1
"이런것도 영화구나 싶은,, 고등 학교 영화동아리 학생들  작품보다 못한 동영상. 시나리오도 쓰고  감독까지 한 구모씨,, 군대는 다녀오셨는지 모르겠네요. 여자분이신지? 이건 영화가 아니라 저급 동영상이 불과 함.",1
이게영화냐?  무슨생각으로 만든지 모르겠다걍 OOO기영화,1
심리전과 인간의 본성은 그나마 잘 살렸다만.. 동네 뒷산도 아니고.. 너무 과한 설정에.. 당나라 군대도 아니고..,1
대한민국 1% 정예 수색대를 욕보는 캐졸작..감독은 아무나 하는구먼ㅋㅋ,1
ㅋㅋ진짜 아무나돈있음 영화만드나ㅋㅋ진짜 진짜허접하다. .ㅉㅉ,1
장난하나.내용도없고 뜻도없다.,1
이러시면 안됩니다. 배우들한테도 스텝들한테도 이러시면 곤란합니다. 저예산이라는건 오히려 핑계조차 되지 않는 영화네요. 제작비가 아깝고 배우들도 불쌍하고 누굴 탓하겠습니까 감독님. 그래도 촬영하느라 고생하셨을텐데 다음엔 여러사람 헛고생 시키지 말아주세요,1
이것도 영화라고.. 참. ... 오글거리고 답답해서 ..원...,1
그냥 우리나라 군인들 쓰레기만드는 개막장 영화 투자자들은 멀보고 이런영화에 투자했는지.. 평점1점도 아깝다 감독 군대는 다녀왔을까..,1
보다보다 이런 개억지 같은 영화는 첨이다.,1
뭐야 이건.... 쓰레기 아냐~,1
군대영환데 도대체 이건 어느나라 군대인지... 현실성이 전혀없습니다. 가장 기본적인 군에대한 사전 조사도 전혀 없이 만들었다는게 너무나 확연하게 티가남 어설퍼도 너무 어설픈 영화,1
군대소재를 왜 갖다 쓴거냐?  배우들도 군대 안 다녀온건가. 시나리오 수정 좀 하지 차라리 귀신을 등장시켜서 상황을 살리는것이 낫겠다.,1
예산이 부족했나? 영화 느낌이 안남 학교 수행평가할때 디카로 동영상 촬영한거 보는느낌임,1
도대체 무슨 영화인지 ㅋㅋㅋ,1
박그리나와 여자징징이 빼곤 다 별로....,1
장르가 미스터리니깐 쪼금 이해갑니다.,1
좀 심한 영화(감독님 군대 다녀오셨나요?) 상황도 연기도 이해안가는점 투성이,1
실소를 금치 못한다..,1
이영화 한 삼점때로 떨굽시다,1
정말 병맛같은영화네 ㅡㅡ,1
군을 아나? 가장 기본적인 것조차 개판. 어거지의 반복. 이따위 개판영화 참 오랫만이다.,1
뒷산에서 전쟁놀이하니?,1
"그냥 보지마,,, 시간도 아까워,,,",1
기종에 나왔던 이런류의 영화를 생각했지만 그닦 별로이고 영화보면서 군대이야기 사실적이고 머고 없다고 1 점 준사람들이 있는데 그런걸로 따지면 트랜스 포머는 0 점 이겠다 그냥 난 이영화 공짜로는 몰라도 돈주고만 안보면 되겠다 싶음,1
고증은 엉망이며 리얼리티또한 떨어지고 감독은 GP506과 알포인트의 퀼리티를 노렸으나 그건 감독만의 개인적 착각이였다. 다시 연구하고 다시 만들어라. 애초에 여군이 등장 하는 것 부터가 비현실적.,1
원어는 공개하지 않고 더빙 버전으로만 개봉. 자막 버전도 러시아어가 아닌 영어 더빙. 번역 없이 임의로 대사 만들고 크레딧에 뮤직비디오를 임의로 넣지를 않나 원작을 심각하게 훼손한 채 아동용으로 만들어 극장 상영. 대량의 알바 동원한 평점 조작까지.,1
별로. 배경이 너무 인조틱하고 부자연 스러워서 보는내내 눈이 불편했음. 돈을 내고 보기 아까울 정도,1
진짜 아빠노릇하러 보러갔는데 넘재미없네요  웃는아이들은아무도없고..내용도 아이들한텐이해불가..ㅠ 넘속상하네여,1
왠만하면..평점 안남기는데.. 도저히 이해할수 없는 평점..절대보지마세요,1
와 정말 이상한 영화였어요 영상 스토리 재미 다 완전 이상하던데 여기 평점 다들 이상해요 편집을 잘못했는지 내용 연결이 안될뿐더러 영상도 너무 구식이고 캐릭터도 너무 식상했어요 우리나라에서 만든 티비 만화영화보다 더 구려요 러시아 영화라서 그런가요,1
3D로 안본탓인지는 모르겠지만 아무리 애들영화래도 넘 밋밋하고 지루했어요.  애도 어른도 둘다재미를 못느껴 겨우 한시간버티고 영화관에서 뛰쳐나왔네요.  평점 너무 높게 되있는듯해서 낮게 주고 갑니다.  참고로 개구쟁이스머프2는 애랑 어른 모두 굿,1
이런 쓰레기영화는 내가 태어나서 처음본다나도 속고 우리아빠도 속았다 그리고 돈도 시간도 아깝다아까워하긴 극장안에 들어가니7~8명밖에 없었으니깐,1
허경환 죽는다 너때문에 속아서 봤다 이게 영화냐 ?,1
"메인 예고편이  개그맨(등 더빙출연자로로 은근히 덮어씌우는 것은 다 돈 아까운거라고 보시면  되고,,10점이 많은 것도 알바좀비들의 활약으로 보시면 됩니다.낮은 점수에서 실제 본 분들의 평을 보시고 고민하세요.쓰레기 기획사, 좀비알바 들,,",1
돈아깝다  쓰레기 영화,1
진짜 왠만하면 평점 안올리는데 어제 넘 더워서 애 데꼬 이거 봤는데 내용도 이상하고 웃기는 부분도 없고 지루함.. 그래픽은 더할나위 없고 .. 요즘에 이렇게 밖에 애니메이션 못만드나 생각듬.. 허경환 믿고 봤다가 완전 돈만 날리고 내돈 물어내 자슥아~,1
"평범 1점도 아까운 쓰레기 애니, 5살 애들 조차 유치하다고 하는, 유치하기도 하고, 허술하기깝지 하고... 평점이 이렇게 높은걸 보니 평점 조작단이 있다는 의구심이 강하게 듬...",1
아니 지루하고 졸리고...중간에 애들은 나가자고 하고...카 스토리 따라서 뱅기로 옮긴듯한... 하지만 재미는 없다는 점!! 재미없어하고 있는데~~~완전 실망!!!,1
"★절대보지마소★-내용없고 스토리 엉망, OST 개쩌는 행진곡같은 완전 허접, CG도 선명하지 않은 허접, 근래본 에픽이나 터보 등과 견주면 진짜 하늘과 땅차이...벌래알바들이 별점 9/10 점 준놈들꺼에 방심했다 보면 개낭패..우리새끼들도 지겨워함",1
아이들이 둘이나 있어서 지난 몇년간 극장에서 개봉한 애니는 다 보았는데 정말 애들데리고 나오고 싶었음,1
최악이었어요 완전 짝퉁 ㅠ 스토리가 앞뒤가 엉성해요 끝난 뒤에 속은 것 같은 느낌에 화까지 나더라구요 6살아들은 재밌었답니다 딱 그 수준이네요,1
조잡함,1
별점한개도 아깝다..ㅠ..디즈니나 픽사급을 생각한다면 절대 비추.. 스토리는 디즈니카의 어디쯤이고..연출..음악..은 우리나라 티비판 애니만도 못하다...더빙하신 성우분들께 경의를 표함..처음시작할때 스폰광고가 한개도없을때알아봤어야했는데..ㅠ,1
성인용도 유아용도 아니고 지루하고 ㅎㅎ 심심풀이로도 겨우 볼만한.. .애니 정말 좋아하는데 진짜비추~~~,1
애들이보다가 나가자 그러긴첨이네요  미국애니아닙니다 러시아영화에요 수준한참떨어지네요,1
정말 알바가 있긴 있나보네요.그림체가 이뻐서 아이 데리고 갔다가  어른들도 이해가 안갈만큼 건너뛰는 이야기에 너무 지루했습니다.,1
터보 에픽 스머프 다봤는데 이것만 재미없는지 나가자함. 나도 재미없음,1
그나마 전작에 남아 있던 신파의 울림은 사라지고 어거지만 남았다,1
배우들의 극중 성격과 감정이 1년전 전편과 이어지질 않는다. 배우탓 아니면 감독탓 ?,1
유식한 척하나 결국에는 허접적인 팔마의 스릴러,1
뭐냐 리스고우,1
진짜 짜증스럽다 내용이 이게뭐냐???,1
개봉일날.. 몇몇분들이 엄청난 영화라고 하길래 믿고 봤더니.... 몇달이 지났지만 지금도 잊혀지지 않는다... 이런 쓔례기 영화를 돈주고 봤다고 생각하니 부아가 치민다....,1
시간 영화 중에서 이런 한심한 영화는 처음 본다. 제발 다운받아서도 보지 마시길...,1
소재만 괜찮고 스토리 진행과 결말을 보면 시간이 아깝다란 생각뿐이ㅡㅡ,1
주인공 남자  현재여친 복사본여친 이쪽저쪽 왔다갔다 간보구 죽이고 어이가없더라,1
아.. 초반에 허접한 운석 날라오고 전기 빠지직할때 그만 봤어야했는데.. 시간 아깝고.. 내가 둘이되고 시간차에 따라 경험이 달라져 그 둘은 다른 자아가 된다라는 아이디어는 좋았으나  연출이 망친 망작,1
간단하게 정리하자면돈 주고 보지 마세요.,1
개 쓰레기 영화 소재는 좋은데 정말 이거 왜본지 모르겠음,1
소재는 대박인데 내용은 B급이란 표현도 아까운 희대의  똥망영화. 마치 횟감용 1등급 참치를 잡아와서는 카레가루랑 밀가루를 바른 후 굽고 튀긴 다음 청국장에 찍어먹는 짓이랄까..내용도 없고 이야기도 없다. 그냥 혼란 속에 우왕좌왕 끝. 1점도 아깝다.,1
"설정, 소재는 괜찮았지만 스토리가 정말 최악입니다. 이렇게 재미없고 지루한 영화는 오랜만이네요",1
"형아가 쉽게 설명해 줄게.. 시내 중심가에 떵 겁나게 싸지르고, 안치우고 당당하게 떠나간.  그걸 영화로 표현한.  증폭시키고 이유는 설명없이 걍 싸지르고간.. 냄새 만 맡고 꺼져라고 말하는 영화임. 더 이상 무슨 설명을 할 수 있을까.",1
왜 평점을 0점 못주게 만들어놨지?진짜 내 인생 최고의 쓰레기 영화중 하나날씨도 꿀꿀한데 이거보고 기분만 괜히 개판됨,1
기대보다 실망이 너무너무너무도 큰 영화. 태어나 처음으로 댓글을 달아보게 만드는 영화.,1
"연출을 밥말아드심! 초반부 뜬금없는 키스로 사건이 촉발되더니,난데없는 운석도 그렇고, 계속 멈춰서서 천장바라보던 여자애는 후반부에 움직이더니 별사건없이 없어지고,주인공 친구여자애는 자기 도플갱어하고 뜬금없는 키스를 하고..그야말로 개판!",1
알바많아서 안봄^^ 영화도안쳐보고 평가싸지르는 미친 싸이코새끼들 ㅋ,1
여자를 물건취급하는 개싸이코 주인공의.해피엔딩 시작은 좋았건만 ...,1
역시 네이버 ㅅㅂ 댓글광고알  존나 풀었네 걍 주말드라마나 보삼,1
"소재가 너무 괜찮아서 기대가 컸습니다 기대를 져버리는 정도가 아니라 이건... 반은 야한거, 반은그냥...마지막도 너무 어이없고 여운이 남는게 아니라 머지?.. 이기분정도 사람마다 개인차가 있으니 취향이 다를수 있겠죠?..",1
B급 영화의 표본... 난데없는 운석에 그냥 3B를 모두 갖춘듯 자신과의 개싸움이랄까나... 여튼 타임킬링도 아깝 롤 한판 더 하셈,1
더도말고 덜도말고 B급영화,1
주인공만 해피엔딩인 영화..,1
연출에 성의가 없다. 장미희는 예뻤네.,1
낚여서 들어와버렸잖아요,1
제왕의 딸 수 백 향...,1
